rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
124,300,0.8,0.8,18,1.0,0.7227332158491728,0.815775526943988,0.3865733381362725,0.3630977589013622,0.5957277850428367,0.6260898813151047,0.0,0.0,0.0
125,120,0.8,1.4,18,1.0,0.7233047512244599,0.8222086449431503,0.3930064561354348,0.43327910692501026,0.5691219854297465,0.6250531371906012,0.0,0.0,0.0
126,140,1.0,1.4,18,1.0,0.7261546073780246,0.8565140734496217,0.4273118846419062,0.47713729203134453,0.5845724468945565,0.619326636217548,0.0,0.0,0.0
127,180,1.0,1.4,18,1.0,0.7271465746322173,0.8398953619243446,0.4106931731166291,0.4470916915020783,0.5930739021059452,0.62447328135306,0.0,0.0,0.0
128,280,1.4,1.2,18,1.0,0.7272703515658958,0.881445241682621,0.4522430528749054,0.4408411393403611,0.5508512479570223,0.6142095883471694,0.0,0.0,0.0
129,220,0.6,0.6,18,1.0,0.7280929911420029,0.745135600275879,0.31593341146816356,0.2058508582806382,0.6215410407358573,0.6491096382749619,0.0,0.0,0.05555555555555555
130,140,0.4,1.0,18,1.0,0.7290673284572916,0.8113099285665049,0.38210773975878937,0.3558565887000401,0.5779351314153788,0.6335403935175943,0.0,0.0,0.0
131,220,0.6,1.0,18,1.0,0.7295372044925259,0.8565975117144867,0.4273953229067713,0.4639745351600688,0.5958460819838904,0.6226883737658331,0.0,0.0,0.0
132,200,0.6,1.0,18,1.0,0.7302174471552553,0.8331024477875313,0.40390025897981585,0.3673987670189541,0.590611949089397,0.6292423824103013,0.0,0.0,0.0
133,180,1.4,1.2,18,1.0,0.7307847911580538,0.9573390115337325,0.5281368227260171,0.5332957061402367,0.5729169514783834,0.5987505854765496,0.0,0.0,0.0
134,320,0.8,0.8,18,1.0,0.7346906457572415,0.836923883675006,0.40772169486729043,0.38667121277598193,0.6152603085064242,0.6327602220404189,0.0,0.0,0.0
135,380,1.2,1.0,18,1.0,0.735251165691757,0.8779184287910939,0.44871623998337856,0.4599906537111905,0.601051834565922,0.6230721056959123,0.0,0.0,0.0
